name,asset_type,is_loop,duration_sec,resolution,server_file_path,file_hash,reuse_count,source,confidence,needs_human,notes
GSR_2024_SegmentTitle_Ministry_Report_v01_CCd_000100_1080p_2997_Pr422HQ.mov,title_graphic,false,60.03,1920x1080,Media/Assets/GSR_2024_SegmentTitle_Ministry_Report_v01_CCd_000100_1080p_2997_Pr422HQ.mov,a84817c62b1e1565a6ebc044990de0e5e4aee4e58891adad77d8314f2f5ac15b,5,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
deep-low-whoosh-SBA-300462094.wav,other,false,,,Media/Assets/deep-low-whoosh-SBA-300462094.wav,bf0ea59f4ac0ee03447e13e7b23ac5e97c41013faa32ce34779a29e80aea3038,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
GSM_Mars_000100_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,60.03,3840x2160,Media/Assets/GSM_Mars_000100_4k_2997_40Mbps_H264.mp4,bbd24aacc2d4b31488a025c2267ec6f2434be516674b46a219300c79c055e91b,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
GSM_Saturn_000100_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,59.99,3840x2160,Media/Assets/GSM_Saturn_000100_4k_2997_40Mbps_H264.mp4,aaf7a7877c45c2c4e8cff66c840e4e2dee0898dc6de77babd299cb6575150db9,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
GSM_HummingbirdMigration_000100_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,59.99,3840x2160,Media/Assets/GSM_HummingbirdMigration_000100_4k_2997_40Mbps_H264.mp4,920f57d5dddecaa371082ece6eaa1a6ce73b71a946adfad1f6a77eca1ab70818,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
GSM_SoftTissueFossils_000100_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,60.06,3840x2160,Media/Assets/GSM_SoftTissueFossils_000100_4k_2997_40Mbps_H264.mp4,3ce5c87345a3578b904a8bd36c657d92ef6a07b0eb4c9188bb674231f6f4ee3e,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
GSM_TheBrain_000100_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,59.99,3840x2160,Media/Assets/GSM_TheBrain_000100_4k_2997_40Mbps_H264.mp4,e9542eff63f6f33e36c11a10a7b14d2585d844c2bbe0d474443cec3aec7f31a7,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
THD_CREATION_Monkeys_WWN_GSR_ROLLIN_000430_4K_2997_40Mbps_H264.mp4,clip_with_audio,false,270.0,3840x2160,Media/Assets/THD_CREATION_Monkeys_WWN_GSR_ROLLIN_000430_4K_2997_40Mbps_H264.mp4,abd69777a3b549f4ec7466a33c3863f984973c6ffe6eeb757e6852a0e6a2383d,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
THD_WhirlpoolGalaxy_UPDATED_WWN_ROLLIN_000205_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,125.02,3840x2160,Media/Assets/THD_WhirlpoolGalaxy_UPDATED_WWN_ROLLIN_000205_4k_2997_40Mbps_H264.mp4,29f1a2b53aadb0ae7aa7c48bfbf85ab86cfb97dc8a343d6d91c0e9f044ec84d1,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
THD_GreatUnconformity_UPDATED_WWN_ROLLIN_000126_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,86.02,3840x2160,Media/Assets/THD_GreatUnconformity_UPDATED_WWN_ROLLIN_000126_4k_2997_40Mbps_H264.mp4,eef38dc21eb594ddd7fad77df58254e5ba001f8c1f8d2254402a57b118d29df0,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
